date,variant,signal_time,nearest_option_tick_time,entry_option_tick_time,signal_to_entry_ms,nearest_tick_lag_ms,option_tick_gap_before_entry_ms,option_tick_gap_after_entry_ms,selected_expiry,selected_strike,atm_distance_points,spread_at_entry,bid_at_entry,ask_at_entry,ltp_at_entry,top_depth_at_entry,direction,symbol,entry_time,exit_time,entry_price,exit_price,points,gross_pnl,net_pnl,exit_reason,hold_seconds,mfe,mae,sensex_at_entry,sensex_move_3s,option_move_1s,option_move_3s,sync_passed,vacuum_available,vacuum_passed,spread_now,median_spread_10s,top_depth_now,median_top_depth_10s,time_bucket,regime
2026-04-28,B_impulse_plus_option_sync,2026-04-28T09:16:03.203073,2026-04-28T14:46:03,2026-04-28T14:46:04,796.927,-203.073,1000.0,1000.0,2026-04-30,77100,0,0.75,364.4,365.15,364.9,100.0,CE,BFO:SENSEX26APR77100CE,2026-04-28T14:46:04,2026-04-28T14:46:07,364.9,368.5,3.6000000000000227,1800.0000000000114,1800.0000000000114,TARGET_HIT,3.0,3.6000000000000227,0.0,77101.89,29.139999999999418,1.5500000000000114,-2.25,True,True,False,0.9000000000000341,0.9250000000000114,120.0,100.0,14:00-15:00,choppy_fake_impulse
2026-04-28,B_impulse_plus_option_sync,2026-04-28T09:16:19.207894,2026-04-28T14:46:19,2026-04-28T14:46:20,792.106,-207.894,1000.0,1000.0,2026-04-30,77100,0,0.9000000000000341,370.45,371.35,371.0,80.0,CE,BFO:SENSEX26APR77100CE,2026-04-28T14:46:20,2026-04-28T14:46:21,371.0,369.85,-1.1499999999999773,-574.9999999999886,-574.9999999999886,KILL_1S,1.0,0.0,-1.1499999999999773,77099.57,28.14000000001397,1.6000000000000227,1.25,True,True,False,1.0499999999999545,1.0499999999999545,160.0,160.0,14:00-15:00,choppy_fake_impulse
2026-04-28,B_impulse_plus_option_sync,2026-04-28T09:17:21.200370,2026-04-28T14:47:21,2026-04-28T14:47:22,799.63,-200.37,1000.0,0.0,2026-04-30,77200,0,0.8000000000000114,323.5,324.3,324.25,60.0,CE,BFO:SENSEX26APR77200CE,2026-04-28T14:47:22,2026-04-28T14:47:23,324.25,323.1,-1.1499999999999773,-574.9999999999886,-574.9999999999886,KILL_1S,1.0,0.0,-1.1499999999999773,77205.73,25.169999999998254,0.6999999999999886,1.0,True,True,False,0.44999999999998863,0.8499999999999943,100.0,100.0,14:00-15:00,choppy_fake_impulse
2026-04-28,B_impulse_plus_option_sync,2026-04-28T09:20:15.452542,2026-04-28T14:50:15,2026-04-28T14:50:16,547.458,-452.542,1000.0,2000.0,2026-04-30,77300,0,0.9000000000000341,287.2,288.1,287.45,200.0,CE,BFO:SENSEX26APR77300CE,2026-04-28T14:50:16,2026-04-28T14:50:19,287.45,287.65,0.19999999999998863,99.99999999999432,99.99999999999432,KILL_3S,3.0,0.6000000000000227,0.0,77264.78,25.75999999999476,0.6500000000000341,-1.599999999999966,True,True,False,0.8499999999999659,0.8499999999999943,260.0,180.0,14:00-15:00,choppy_fake_impulse
2026-04-28,C_impulse_plus_sync_plus_liquidity_vacuum,2026-04-28T09:15:13.201373,2026-04-28T14:45:13,2026-04-28T14:45:14,798.627,-201.373,1000.0,1000.0,2026-04-30,77000,0,0.5500000000000114,405.45,406.0,405.45,200.0,PE,BFO:SENSEX26APR77000PE,2026-04-28T14:45:14,2026-04-28T14:45:17,405.45,403.45,-2.0,-1000.0,-1000.0,KILL_3S,3.0,0.9499999999999886,-2.0,76974.31,-49.93000000000757,0.7999999999999545,2.0499999999999545,True,True,True,0.5999999999999659,0.6999999999999886,80.0,160.0,14:00-15:00,liquidity_vacuum_impulse
2026-05-05,A_impulse_only,2026-05-05T09:15:01.577367,2026-05-05T14:45:02,2026-05-05T14:45:02,422.633,422.633,1000.0,2000.0,2026-05-07,77000,0,1.150000000000034,375.95,377.1,376.75,180.0,PE,BFO:SENSEX2650777000PE,2026-05-05T14:45:02,2026-05-05T14:45:04,376.75,375.9,-0.8500000000000227,-425.00000000001137,-425.00000000001137,KILL_1S,2.0,0.0,-0.8500000000000227,77003.18,-100.54000000000815,-5.100000000000023,-5.949999999999989,False,True,False,1.150000000000034,1.0,180.0,120.0,14:00-15:00,clean_trend_impulse
2026-05-05,A_impulse_only,2026-05-05T09:15:18.503361,2026-05-05T14:45:19,2026-05-05T14:45:19,496.639,496.639,3000.0,2000.0,2026-05-07,76700,0,0.8000000000000114,259.8,260.6,261.4,100.0,PE,BFO:SENSEX2650776700PE,2026-05-05T14:45:19,2026-05-05T14:45:21,261.4,260.5,-0.8999999999999773,-449.99999999998863,-449.99999999998863,KILL_1S,2.0,0.0,-0.8999999999999773,76745.5,-59.669999999998254,0.0,1.5,False,True,False,0.8000000000000114,0.799999999999983,100.0,110.0,14:00-15:00,clean_trend_impulse
2026-05-05,A_impulse_only,2026-05-05T09:15:47.656463,2026-05-05T14:45:48,2026-05-05T14:45:48,343.537,343.537,1000.0,1000.0,2026-05-07,76900,0,1.6999999999999318,532.45,534.15,532.8,260.0,CE,BFO:SENSEX2650776900CE,2026-05-05T14:45:48,2026-05-05T14:45:49,532.8,531.85,-0.9499999999999318,-474.9999999999659,-474.9999999999659,KILL_1S,1.0,0.0,-0.9499999999999318,76867.68,25.59999999999127,-12.149999999999977,-14.25,False,True,False,1.6999999999999318,1.6000000000000227,260.0,140.0,14:00-15:00,late_session_impulse
2026-05-05,A_impulse_only,2026-05-05T09:16:22.465830,2026-05-05T14:46:22,2026-05-05T14:46:23,534.17,-465.83,1000.0,0.0,2026-05-07,76900,0,1.0,344.9,345.9,345.1,80.0,PE,BFO:SENSEX2650776900PE,2026-05-05T14:46:23,2026-05-05T14:46:31,345.1,342.0,-3.1000000000000227,-1550.0000000000114,-1550.0000000000114,STOP_HIT,8.0,2.349999999999966,-3.1000000000000227,76927.72,-25.319999999992433,-0.30000000000001137,-3.150000000000034,False,True,False,0.9000000000000341,1.0,120.0,140.0,14:00-15:00,choppy_fake_impulse
2026-05-05,A_impulse_only,2026-05-05T09:17:03.492148,2026-05-05T14:47:03,2026-05-05T14:47:04,507.852,-492.148,1000.0,1000.0,2026-05-07,77000,0,1.4499999999999886,460.75,462.2,461.65,100.0,CE,BFO:SENSEX2650777000CE,2026-05-05T14:47:04,2026-05-05T14:47:05,461.65,460.3,-1.349999999999966,-674.999999999983,-674.999999999983,KILL_1S,1.0,0.0,-1.349999999999966,77012.05,33.04000000000815,-0.6999999999999886,1.1000000000000227,False,True,False,1.3000000000000114,1.25,80.0,80.0,14:00-15:00,choppy_fake_impulse
