variant,cost_model,latency_ms,trades,net_pnl,win_rate,profit_factor,max_dd,avg_pnl_per_trade
B_impulse_plus_option_sync,half_point_roundtrip,2000,36,-15399.999999999989,0.16666666666666666,0.4088291746641072,-21474.999999999978,-427.7777777777775
B_impulse_plus_option_sync,ltp_ltp,0,36,3600.0000000000978,0.3611111111111111,1.2594594594594664,-6724.999999999977,100.00000000000271
B_impulse_plus_option_sync,ltp_ltp,250,36,1675.0000000000753,0.3333333333333333,1.119217081850539,-6874.9999999999945,46.52777777777987
B_impulse_plus_option_sync,ltp_ltp,500,36,1500.0000000000628,0.3333333333333333,1.0964630225080425,-8550.000000000007,41.66666666666841
B_impulse_plus_option_sync,ltp_ltp,1000,36,2349.9999999999563,0.2777777777777778,1.1543513957307028,-4949.999999999988,65.27777777777656
B_impulse_plus_option_sync,ltp_ltp,2000,36,-6399.99999999999,0.25,0.6568364611260056,-13224.999999999978,-177.7777777777775
B_impulse_plus_option_sync,one_point_roundtrip,0,36,-14399.999999999904,0.19444444444444445,0.4749316317228835,-19199.99999999997,-399.9999999999973
B_impulse_plus_option_sync,one_point_roundtrip,250,36,-16324.999999999927,0.16666666666666666,0.4185218165627806,-21124.999999999993,-453.4722222222202
B_impulse_plus_option_sync,one_point_roundtrip,500,36,-16499.999999999938,0.19444444444444445,0.43589743589743796,-20749.999999999996,-458.3333333333316
B_impulse_plus_option_sync,one_point_roundtrip,1000,36,-15650.000000000044,0.2222222222222222,0.4542284219703575,-18625.000000000124,-434.7222222222234
B_impulse_plus_option_sync,one_point_roundtrip,2000,36,-24399.99999999999,0.16666666666666666,0.2727272727272723,-29724.999999999978,-677.7777777777775
C_impulse_plus_sync_plus_liquidity_vacuum,buy_ask_plus_0_25_sell_bid_minus_0_25,0,5,-3125.0,0.2,0.038461538461538464,-3125.0,-625.0
C_impulse_plus_sync_plus_liquidity_vacuum,buy_ask_plus_0_25_sell_bid_minus_0_25,250,5,-3125.0,0.2,0.038461538461538464,-3125.0,-625.0
C_impulse_plus_sync_plus_liquidity_vacuum,buy_ask_plus_0_25_sell_bid_minus_0_25,500,5,-3125.0,0.2,0.038461538461538464,-3125.0,-625.0
C_impulse_plus_sync_plus_liquidity_vacuum,buy_ask_plus_0_25_sell_bid_minus_0_25,1000,5,-3925.000000000026,0.0,0.0,-3925.000000000026,-785.0000000000052
C_impulse_plus_sync_plus_liquidity_vacuum,buy_ask_plus_0_25_sell_bid_minus_0_25,2000,5,-2524.9999999999914,0.0,0.0,-2524.9999999999914,-504.9999999999983
C_impulse_plus_sync_plus_liquidity_vacuum,buy_ask_sell_bid,0,5,-1875.0,0.4,0.1758241758241676,-2274.9999999999773,-375.0
C_impulse_plus_sync_plus_liquidity_vacuum,buy_ask_sell_bid,250,5,-1875.0,0.4,0.1758241758241676,-2274.9999999999773,-375.0
C_impulse_plus_sync_plus_liquidity_vacuum,buy_ask_sell_bid,500,5,-1875.0,0.4,0.1758241758241676,-2274.9999999999773,-375.0
C_impulse_plus_sync_plus_liquidity_vacuum,buy_ask_sell_bid,1000,5,-2675.0000000000255,0.0,0.0,-2675.0000000000255,-535.0000000000051
C_impulse_plus_sync_plus_liquidity_vacuum,buy_ask_sell_bid,2000,5,-1274.9999999999914,0.2,0.019230769230762924,-1274.9999999999914,-254.99999999999827
