date,scenario,offset_points,target_points,trades_taken,trades_dropped_by_offset_proxy,target_hit_count_under_model,net_pnl_model,delta_vs_actual,baseline_actual_net
2026-03-24,optimistic_open_plus15s,6,2.0,37,20,36,35375.0,57175.0,-21800.0
2026-03-24,optimistic_open_plus15s,6,3.0,37,20,34,34025.0,55825.0,-21800.0
2026-03-24,optimistic_open_plus15s,8,5.0,16,41,14,33475.0,55275.0,-21800.0
2026-03-24,optimistic_open_plus15s,9,5.0,15,42,14,32475.0,54275.0,-21800.0
2026-03-24,optimistic_open_plus15s,8,4.0,16,41,14,26475.0,48275.0,-21800.0
2026-03-24,optimistic_open_plus15s,9,4.0,15,42,14,25475.0,47275.0,-21800.0
2026-03-24,optimistic_open_plus15s,7,2.0,25,32,25,25000.0,46800.0,-21800.0
2026-03-24,optimistic_open_plus15s,8,3.0,16,41,16,24000.0,45800.0,-21800.0
2026-03-24,optimistic_open_plus15s,9,3.0,15,42,15,22500.0,44300.0,-21800.0
2026-03-24,optimistic_open_plus15s,1,1.0,57,0,54,21250.0,43050.0,-21800.0
2026-03-24,optimistic_open_plus15s,2,1.0,57,0,54,21250.0,43050.0,-21800.0
2026-03-24,optimistic_open_plus15s,3,1.0,57,0,54,21250.0,43050.0,-21800.0
2026-03-24,optimistic_open_plus15s,4,1.0,57,0,54,21250.0,43050.0,-21800.0
2026-03-24,optimistic_open_plus15s,5,1.0,57,0,54,21250.0,43050.0,-21800.0
2026-03-24,optimistic_open_plus15s,10,6.0,8,49,6,21000.0,42800.0,-21800.0
2026-03-24,optimistic_open_plus15s,10,5.0,8,49,8,20000.0,41800.0,-21800.0
2026-03-24,optimistic_open_plus15s,6,1.0,37,20,36,17375.0,39175.0,-21800.0
2026-03-24,optimistic_open_plus15s,8,2.0,16,41,16,16000.0,37800.0,-21800.0
2026-03-24,optimistic_open_plus15s,10,4.0,8,49,8,16000.0,37800.0,-21800.0
2026-03-24,optimistic_open_plus15s,9,2.0,15,42,15,15000.0,36800.0,-21800.0
2026-03-24,optimistic_open_plus15s,7,1.0,25,32,25,12500.0,34300.0,-21800.0
2026-03-24,optimistic_open_plus15s,10,3.0,8,49,8,12000.0,33800.0,-21800.0
2026-03-24,optimistic_open_plus15s,8,1.0,16,41,16,8000.0,29800.0,-21800.0
2026-03-24,optimistic_open_plus15s,10,2.0,8,49,8,8000.0,29800.0,-21800.0
2026-03-24,optimistic_open_plus15s,9,1.0,15,42,15,7500.0,29300.0,-21800.0
2026-03-24,optimistic_open_plus15s,10,1.0,8,49,8,4000.0,25800.0,-21800.0
