date,variant,entry_time,exit_time,direction,symbol,strike,expiry,sensex_at_entry,sensex_move_3s,entry_price,exit_price,points,gross_pnl,net_pnl,exit_reason,hold_seconds,mfe,mae,option_move_1s,option_move_3s,sync_passed,vacuum_available,vacuum_passed,spread_now,median_spread_10s,top_depth_now,median_top_depth_10s,time_bucket,regime
2026-05-05,A_impulse_only,2026-05-05T14:48:01,2026-05-05T14:48:04,CE,BFO:SENSEX2650777000CE,77000,2026-05-07,77009.52,26.49000000000524,471.4,471.75,0.35000000000002274,175.00000000001137,175.00000000001137,KILL_3S,3.0,1.4500000000000455,0.0,0.3499999999999659,-5.9500000000000455,True,True,False,1.3000000000000114,1.349999999999966,100.0,120.0,14:00-15:00,choppy_fake_impulse
2026-05-05,A_impulse_only,2026-05-05T14:48:22,2026-05-05T14:48:25,CE,BFO:SENSEX2650777000CE,77000,2026-05-07,77034.78,30.14999999999418,464.4,467.95,3.5500000000000114,1775.0000000000057,1775.0000000000057,TARGET_HIT,3.0,3.5500000000000114,-0.049999999999954525,0.25,1.3500000000000227,True,True,False,0.14999999999997726,1.25,220.0,130.0,14:00-15:00,choppy_fake_impulse
2026-05-05,A_impulse_only,2026-05-05T14:49:02,2026-05-05T14:49:03,CE,BFO:SENSEX2650777100CE,77100,2026-05-07,77065.3,27.35000000000582,413.0,412.7,-0.30000000000001137,-150.00000000000568,-150.00000000000568,KILL_1S,1.0,0.0,-0.30000000000001137,0.35000000000002274,-1.599999999999966,True,True,False,1.1999999999999886,1.174999999999983,100.0,110.0,14:00-15:00,choppy_fake_impulse
2026-05-05,A_impulse_only,2026-05-05T14:49:35,2026-05-05T14:49:45,CE,BFO:SENSEX2650777100CE,77100,2026-05-07,77116.36,37.08999999999651,411.3,413.1,1.8000000000000114,900.0000000000057,900.0000000000057,MAX_HOLD,10.0,1.8000000000000114,-1.150000000000034,0.0,0.5500000000000114,False,True,True,1.150000000000034,1.0500000000000114,80.0,180.0,14:00-15:00,liquidity_vacuum_impulse
2026-05-05,A_impulse_only,2026-05-05T14:50:48,2026-05-05T14:50:49,PE,BFO:SENSEX2650777100PE,77100,2026-05-07,77082.93,-32.86000000000058,434.0,433.85,-0.14999999999997726,-74.99999999998863,-74.99999999998863,KILL_1S,1.0,0.0,-0.14999999999997726,-3.25,-4.399999999999977,False,True,False,1.0500000000000114,1.0500000000000114,120.0,120.0,14:00-15:00,choppy_fake_impulse
2026-05-05,A_impulse_only,2026-05-05T14:51:37,2026-05-05T14:51:38,PE,BFO:SENSEX2650777000PE,77000,2026-05-07,77038.68,-26.15000000000873,394.2,393.9,-0.30000000000001137,-150.00000000000568,-150.00000000000568,KILL_1S,1.0,0.0,-0.30000000000001137,1.650000000000034,0.75,True,True,False,1.0500000000000114,0.9000000000000341,120.0,140.0,14:00-15:00,late_session_impulse
2026-05-05,A_impulse_only,2026-05-05T14:54:52,2026-05-05T14:54:53,PE,BFO:SENSEX2650777000PE,77000,2026-05-07,77017.27,-31.580000000001746,393.8,396.8,3.0,1500.0,1500.0,TARGET_HIT,1.0,3.0,0.0,-1.3500000000000227,1.3999999999999773,False,True,False,1.1000000000000227,1.049999999999983,120.0,100.0,14:00-15:00,choppy_fake_impulse
2026-05-05,A_impulse_only,2026-05-05T14:56:25,2026-05-05T14:56:27,PE,BFO:SENSEX2650776900PE,76900,2026-05-07,76945.82,-25.45999999999185,347.2,345.95,-1.25,-625.0,-625.0,KILL_1S,2.0,0.0,-1.25,-2.0500000000000114,-3.6499999999999773,False,True,False,0.9000000000000341,0.9000000000000341,140.0,130.0,14:00-15:00,choppy_fake_impulse
2026-05-05,A_impulse_only,2026-05-05T14:56:43,2026-05-05T14:56:47,PE,BFO:SENSEX2650776900PE,76900,2026-05-07,76876.45,-39.870000000009895,351.5,351.55,0.05000000000001137,25.000000000005684,25.000000000005684,KILL_3S,4.0,0.5,0.0,1.1000000000000227,8.0,True,True,True,0.6499999999999773,0.8999999999999773,60.0,140.0,14:00-15:00,liquidity_vacuum_impulse
2026-05-05,A_impulse_only,2026-05-05T15:02:09,2026-05-05T15:02:19,CE,BFO:SENSEX2650777100CE,77100,2026-05-07,77052.75,32.520000000004075,396.35,396.55,0.19999999999998863,99.99999999999432,99.99999999999432,MAX_HOLD,10.0,2.4499999999999886,-1.4500000000000455,-1.6499999999999773,-2.5500000000000114,False,True,False,1.1999999999999886,0.9499999999999886,140.0,160.0,15:00-15:30,late_session_impulse
2026-05-05,A_impulse_only,2026-05-05T15:05:55,2026-05-05T15:05:56,CE,BFO:SENSEX2650777100CE,77100,2026-05-07,77088.78,25.429999999993015,381.75,380.85,-0.8999999999999773,-449.99999999998863,-449.99999999998863,KILL_1S,1.0,0.0,-0.8999999999999773,-1.349999999999966,-1.849999999999966,False,True,False,0.8999999999999773,1.0749999999999886,360.0,110.0,15:00-15:30,choppy_fake_impulse
2026-05-05,A_impulse_only,2026-05-05T15:07:57,2026-05-05T15:07:58,PE,BFO:SENSEX2650777000PE,77000,2026-05-07,77039.36,-25.110000000000582,398.2,397.2,-1.0,-500.0,-500.0,KILL_1S,1.0,0.0,-1.0,1.5500000000000114,0.8499999999999659,True,True,False,0.6500000000000341,0.924999999999983,80.0,110.0,15:00-15:30,late_session_impulse
