threshold,objective_value,winner_giveback_ratio,exit_rate,total_policy_pnl,feasible,fold_id,calibration_date
0.55,-15975.000000000138,0.7703703703703771,1.0,-15975.000000000138,False,6,2026-04-20
0.6,-15975.000000000138,0.7703703703703771,1.0,-15975.000000000138,False,6,2026-04-20
0.65,-15975.000000000138,0.7703703703703771,1.0,-15975.000000000138,False,6,2026-04-20
0.7,-15975.000000000138,0.7703703703703771,1.0,-15975.000000000138,False,6,2026-04-20
0.75,-18775.000000000153,0.7259259259259311,0.926829268292683,-18775.000000000153,False,6,2026-04-20
0.8,-21249.99999999994,0.18333333333333496,0.24390243902439024,-21249.99999999994,False,6,2026-04-20
0.85,-20799.999999999956,0.0,0.0,-20799.999999999956,True,6,2026-04-20
0.9,-20799.999999999956,0.0,0.0,-20799.999999999956,True,6,2026-04-20
0.1,-5750.0,0.7155172413793104,1.0,-5750.0,False,7,2026-04-21
0.15,-5750.0,0.7155172413793104,1.0,-5750.0,False,7,2026-04-21
0.2,-5750.0,0.7155172413793104,1.0,-5750.0,False,7,2026-04-21
0.25,-5750.0,0.7155172413793104,1.0,-5750.0,False,7,2026-04-21
0.3,-5750.0,0.7155172413793104,1.0,-5750.0,False,7,2026-04-21
0.35,-5750.0,0.7155172413793104,1.0,-5750.0,False,7,2026-04-21
0.4,-5750.0,0.7155172413793104,1.0,-5750.0,False,7,2026-04-21
0.45,-5750.0,0.7155172413793104,1.0,-5750.0,False,7,2026-04-21
0.5,-5750.0,0.7155172413793104,1.0,-5750.0,False,7,2026-04-21
0.55,-5750.0,0.7155172413793104,1.0,-5750.0,False,7,2026-04-21
0.6,-5750.0,0.7155172413793104,1.0,-5750.0,False,7,2026-04-21
0.65,-5750.0,0.7155172413793104,1.0,-5750.0,False,7,2026-04-21
0.7,-4949.999999999989,0.6603448275862062,0.975,-4949.999999999989,False,7,2026-04-21
0.75,-13099.999999999967,0.3155172413793096,0.475,-13099.999999999967,False,7,2026-04-21
0.8,-14025.000000000091,0.0,0.05,-14025.000000000091,True,7,2026-04-21
0.85,-12900.000000000091,0.0,0.0,-12900.000000000091,True,7,2026-04-21
0.9,-12900.000000000091,0.0,0.0,-12900.000000000091,True,7,2026-04-21
0.1,-3674.999999999954,0.6395833333333343,1.0,-3674.999999999954,False,8,2026-04-22
0.15,-3674.999999999954,0.6395833333333343,1.0,-3674.999999999954,False,8,2026-04-22
0.2,-3674.999999999954,0.6395833333333343,1.0,-3674.999999999954,False,8,2026-04-22
0.25,-3674.999999999954,0.6395833333333343,1.0,-3674.999999999954,False,8,2026-04-22
0.3,-3674.999999999954,0.6395833333333343,1.0,-3674.999999999954,False,8,2026-04-22
0.35,-3674.999999999954,0.6395833333333343,1.0,-3674.999999999954,False,8,2026-04-22
0.4,-3674.999999999954,0.6395833333333343,1.0,-3674.999999999954,False,8,2026-04-22
0.45,-3674.999999999954,0.6395833333333343,1.0,-3674.999999999954,False,8,2026-04-22
0.5,-3674.999999999954,0.6395833333333343,1.0,-3674.999999999954,False,8,2026-04-22
0.55,-3674.999999999954,0.6395833333333343,1.0,-3674.999999999954,False,8,2026-04-22
0.6,-3674.999999999954,0.6395833333333343,1.0,-3674.999999999954,False,8,2026-04-22
0.65,-3674.999999999954,0.6395833333333343,1.0,-3674.999999999954,False,8,2026-04-22
0.7,-3674.999999999954,0.6395833333333343,1.0,-3674.999999999954,False,8,2026-04-22
0.75,-1550.000000000011,0.5062499999999991,0.868421052631579,-1550.000000000011,False,8,2026-04-22
0.8,-1200.0000000001005,0.0,0.3684210526315789,-1200.0000000001005,True,8,2026-04-22
0.85,-2025.00000000012,0.0,0.0,-2025.00000000012,True,8,2026-04-22
0.9,-2025.00000000012,0.0,0.0,-2025.00000000012,True,8,2026-04-22
0.1,-7000.000000000029,0.7010204081632642,1.0,-7000.000000000029,False,9,2026-04-23
0.15,-7000.000000000029,0.7010204081632642,1.0,-7000.000000000029,False,9,2026-04-23
0.2,-7000.000000000029,0.7010204081632642,1.0,-7000.000000000029,False,9,2026-04-23
0.25,-7000.000000000029,0.7010204081632642,1.0,-7000.000000000029,False,9,2026-04-23
0.3,-7000.000000000029,0.7010204081632642,1.0,-7000.000000000029,False,9,2026-04-23
0.35,-7000.000000000029,0.7010204081632642,1.0,-7000.000000000029,False,9,2026-04-23
0.4,-7000.000000000029,0.7010204081632642,1.0,-7000.000000000029,False,9,2026-04-23
0.45,-7000.000000000029,0.7010204081632642,1.0,-7000.000000000029,False,9,2026-04-23
0.5,-7000.000000000029,0.7010204081632642,1.0,-7000.000000000029,False,9,2026-04-23
0.55,-7000.000000000029,0.7010204081632642,1.0,-7000.000000000029,False,9,2026-04-23
0.6,-7000.000000000029,0.7010204081632642,1.0,-7000.000000000029,False,9,2026-04-23
0.65,-13975.000000000038,0.597959183673469,0.7959183673469388,-13975.000000000038,False,9,2026-04-23
0.7,-19925.00000000003,0.3173469387755099,0.4897959183673469,-19925.00000000003,False,9,2026-04-23
0.75,-20175.000000000007,0.0,0.12244897959183673,-20175.000000000007,True,9,2026-04-23
0.8,-19850.000000000036,0.0,0.0,-19850.000000000036,True,9,2026-04-23
0.85,-19850.000000000036,0.0,0.0,-19850.000000000036,True,9,2026-04-23
0.9,-19850.000000000036,0.0,0.0,-19850.000000000036,True,9,2026-04-23
