impulse_type,impulse_horizon_seconds,underlying_threshold_points,entry_lag_seconds,strike_bucket,max_hold_seconds,spread_pct_threshold,depth_threshold,event_count,tradable_event_count,harvest_3pt_rate,avg_mfe,avg_mae,net_expectancy_after_0_5_cost,worst_day_expectancy
U_2S_15PTS,2,15.0,3,ATM,5,0.005,500,4,4,0.5,3.4749999999999996,-0.9999999999999964,1.0125000000000046,1.0125000000000046
U_1S_10PTS,1,10.0,0,ATM,10,0.01,250,50,50,0.46,4.042999999999999,-2.3360000000000003,1.0049999999999992,-3.1750000000000114
U_2S_20PTS,2,20.0,2,ATM_100,5,0.005,250,23,23,0.2608695652173913,2.8434782608695603,-1.458695652173913,1.0021739130434764,0.14210526315789396
U_1S_20PTS,1,20.0,3,ATM_100,10,0.01,500,2,2,0.5,2.3000000000000043,-1.849999999999996,1.0000000000000036,1.0000000000000036
U_3S_20PTS,3,20.0,1,ATM,5,0.015,250,18,18,0.2222222222222222,2.9611111111111126,-1.997222222222219,0.9805555555555573,-7.399999999999977
U_2S_15PTS,2,15.0,0,ATM,10,0.015,500,14,14,0.21428571428571427,2.5785714285714296,-1.2571428571428573,0.9749999999999996,0.9749999999999996
U_3S_20PTS,3,20.0,0,ATM,10,0.01,500,11,11,0.18181818181818182,3.872727272727271,-1.8545454545454552,0.9681818181818169,0.9681818181818169
ACCEL_SPIKE,3,20.0,0,ATM,10,0.01,500,11,11,0.18181818181818182,3.872727272727271,-1.8545454545454552,0.9681818181818169,0.9681818181818169
U_2S_25PTS,2,25.0,2,ATM,10,0.005,250,2,2,0.5,3.2250000000000227,-0.549999999999983,0.950000000000017,0.950000000000017
U_2S_25PTS,2,25.0,2,ATM,10,0.01,250,2,2,0.5,3.2250000000000227,-0.549999999999983,0.950000000000017,0.950000000000017
U_2S_25PTS,2,25.0,2,ATM,10,0.015,250,2,2,0.5,3.2250000000000227,-0.549999999999983,0.950000000000017,0.950000000000017
U_3S_20PTS,3,20.0,1,ATM,3,0.01,500,6,6,0.3333333333333333,1.6000000000000014,-0.14166666666666808,0.9250000000000007,0.9250000000000007
U_1S_15PTS,1,15.0,2,ATM,10,0.015,500,9,9,0.1111111111111111,3.8333333333333326,-1.1444444444444446,0.9222222222222229,0.9222222222222229
U_3S_30PTS,3,30.0,0,ATM_200,5,0.005,250,5,5,0.4,2.479999999999999,-0.85,0.9100000000000016,0.9100000000000016
U_1S_15PTS,1,15.0,2,ATM_100,5,0.015,250,36,36,0.19444444444444445,2.3888888888888866,-1.1208333333333331,0.9083333333333319,0.2833333333333326
U_5S_30PTS,5,30.0,3,ATM,3,0.01,250,8,8,0.375,2.3187499999999996,-1.1125000000000025,0.9062499999999964,0.8916666666666657
U_5S_30PTS,5,30.0,3,ATM,3,0.015,250,8,8,0.375,2.3187499999999996,-1.1125000000000025,0.9062499999999964,0.8916666666666657
U_5S_30PTS,5,30.0,1,ATM_100,5,0.005,500,4,4,0.25,2.737500000000008,-1.3125000000000018,0.9000000000000021,0.10000000000002274
