date,side,atm_bucket,lag_seconds,correlation,sample_count
2026-04-28,CALL,ATM_100,2,0.0010981073681837663,31178
2026-04-28,CALL,ATM_100,3,0.004448704347637019,31177
2026-04-28,CALL,ATM_100,4,-0.00037408461844054303,31176
2026-04-28,CALL,ATM_100,5,0.004382067373634833,31175
2026-04-28,CALL,ATM_100,6,0.00403679712486529,31174
2026-04-28,CALL,ATM_100,7,-0.0017012595665364136,31173
2026-04-28,CALL,ATM_100,8,0.0009758110908580267,31172
2026-04-28,CALL,ATM_100,9,-0.0006977626795968686,31171
2026-04-28,CALL,ATM_100,10,-0.005848203966353145,31170
2026-04-28,CALL,ATM_200,-10,0.004244570113856668,31170
2026-04-28,CALL,ATM_200,-9,0.010549835843248595,31171
2026-04-28,CALL,ATM_200,-8,0.008600090514432114,31172
2026-04-28,CALL,ATM_200,-7,0.010718985274962596,31173
2026-04-28,CALL,ATM_200,-6,0.00919961408427663,31174
2026-04-28,CALL,ATM_200,-5,0.009441057266001742,31175
2026-04-28,CALL,ATM_200,-4,0.016920798846724972,31176
2026-04-28,CALL,ATM_200,-3,0.017380566680978943,31177
2026-04-28,CALL,ATM_200,-2,0.020867102259055404,31178
2026-04-28,CALL,ATM_200,-1,0.038032272530608674,31179
2026-04-28,CALL,ATM_200,0,0.0170921107378398,31180
2026-04-28,CALL,ATM_200,1,0.00386073126809413,31179
2026-04-28,CALL,ATM_200,2,0.0070445066922050215,31178
2026-04-28,CALL,ATM_200,3,0.0020458611439339146,31177
2026-04-28,CALL,ATM_200,4,-0.00015666673011536955,31176
2026-04-28,CALL,ATM_200,5,0.0039571444150187885,31175
2026-04-28,CALL,ATM_200,6,0.002873287136199216,31174
2026-04-28,CALL,ATM_200,7,-0.0028707682199165066,31173
2026-04-28,CALL,ATM_200,8,0.00402291211300649,31172
2026-04-28,CALL,ATM_200,9,-0.0011250686057380967,31171
2026-04-28,CALL,ATM_200,10,-0.004486788991540226,31170
2026-04-28,PUT,ATM,-10,0.008654039220891913,31170
2026-04-28,PUT,ATM,-9,0.008502921082241493,31171
